timesteps,ep_rew_mean,ep_len_mean
51,-6.9,50.0
52,-6.9,50.0
53,-6.9,50.0
54,-6.9,50.0
55,-6.9,50.0
56,-6.9,50.0
57,-6.9,50.0
58,-6.9,50.0
59,-6.9,50.0
60,-6.9,50.0
61,-6.9,50.0
62,-6.9,50.0
63,-6.9,50.0
64,-6.9,50.0
65,-6.9,50.0
66,-6.9,50.0
67,-6.9,50.0
68,-6.9,50.0
69,-6.9,50.0
70,-6.9,50.0
71,-6.9,50.0
72,-6.9,50.0
73,-6.9,50.0
74,-6.9,50.0
75,-6.9,50.0
76,-6.9,50.0
77,-6.9,50.0
78,-6.9,50.0
79,-6.9,50.0
80,-6.9,50.0
81,-6.9,50.0
82,-6.9,50.0
83,-6.9,50.0
84,-6.9,50.0
85,-6.9,50.0
86,-6.9,50.0
87,-6.9,50.0
88,-6.9,50.0
89,-6.9,50.0
90,-6.9,50.0
91,-6.9,50.0
92,-6.9,50.0
93,-6.9,50.0
94,-6.9,50.0
95,-6.9,50.0
96,-6.9,50.0
97,-6.9,50.0
98,-6.9,50.0
99,-6.9,50.0
100,-6.9,50.0
101,-7.2,50.0
102,-7.2,50.0
103,-7.2,50.0
104,-7.2,50.0
105,-7.2,50.0
106,-7.2,50.0
107,-7.2,50.0
108,-7.2,50.0
109,-7.2,50.0
110,-7.2,50.0
111,-7.2,50.0
112,-7.2,50.0
113,-7.2,50.0
114,-7.2,50.0
115,-7.2,50.0
116,-7.2,50.0
117,-7.2,50.0
118,-7.2,50.0
119,-7.2,50.0
120,-7.2,50.0
121,-7.2,50.0
122,-7.2,50.0
123,-7.2,50.0
124,-7.2,50.0
125,-7.2,50.0
126,-7.2,50.0
127,-7.2,50.0
128,-7.2,50.0
129,-7.2,50.0
130,-7.2,50.0
131,-7.2,50.0
132,-7.2,50.0
133,-7.2,50.0
134,-7.2,50.0
135,-7.2,50.0
136,-7.2,50.0
137,-7.2,50.0
138,-7.2,50.0
139,-7.2,50.0
140,-7.2,50.0
141,-7.2,50.0
142,-7.2,50.0
143,-7.2,50.0
144,-7.2,50.0
145,-7.2,50.0
146,-7.2,50.0
147,-7.2,50.0
148,-7.2,50.0
149,-7.2,50.0
150,-7.2,50.0
151,-7.5,50.0
152,-7.5,50.0
153,-7.5,50.0
154,-7.5,50.0
155,-7.5,50.0
156,-7.5,50.0
157,-7.5,50.0
158,-7.5,50.0
159,-7.5,50.0
160,-7.5,50.0
161,-7.5,50.0
162,-7.5,50.0
163,-7.5,50.0
164,-7.5,50.0
165,-7.5,50.0
166,-7.5,50.0
167,-7.5,50.0
168,-7.5,50.0
169,-7.5,50.0
170,-7.5,50.0
171,-7.5,50.0
172,-7.5,50.0
173,-7.5,50.0
174,-7.5,50.0
175,-7.5,50.0
176,-7.5,50.0
177,-7.5,50.0
178,-7.5,50.0
179,-7.5,50.0
180,-7.5,50.0
181,-7.5,50.0
182,-7.5,50.0
183,-7.5,50.0
184,-7.5,50.0
185,-7.5,50.0
186,-7.5,50.0
187,-7.5,50.0
188,-7.5,50.0
189,-7.5,50.0
190,-7.5,50.0
191,-7.5,50.0
192,-7.5,50.0
193,-7.5,50.0
194,-7.5,50.0
195,-7.5,50.0
196,-7.5,50.0
197,-7.5,50.0
198,-7.5,50.0
199,-7.5,50.0
200,-7.5,50.0
201,-7.95,50.0
202,-7.95,50.0
203,-7.95,50.0
204,-7.95,50.0
205,-7.95,50.0
206,-7.95,50.0
207,-7.95,50.0
208,-7.95,50.0
209,-7.95,50.0
210,-7.95,50.0
211,-7.95,50.0
212,-7.95,50.0
213,-7.95,50.0
214,-7.95,50.0
215,-7.95,50.0
216,-7.95,50.0
217,-7.95,50.0
218,-7.95,50.0
219,-7.95,50.0
220,-7.95,50.0
221,-7.95,50.0
222,-7.95,50.0
223,-7.95,50.0
224,-7.95,50.0
225,-7.95,50.0
226,-7.95,50.0
227,-7.95,50.0
228,-7.95,50.0
229,-7.95,50.0
230,-7.95,50.0
231,-7.95,50.0
232,-7.95,50.0
233,-7.95,50.0
234,-7.95,50.0
235,-7.95,50.0
236,-7.95,50.0
237,-7.95,50.0
238,-7.95,50.0
239,-7.95,50.0
240,-7.95,50.0
241,-7.95,50.0
242,-7.95,50.0
243,-7.95,50.0
244,-7.95,50.0
245,-7.95,50.0
246,-7.95,50.0
247,-7.95,50.0
248,-7.95,50.0
249,-7.95,50.0
250,-7.95,50.0
251,-7.9799999999999995,50.0
252,-7.9799999999999995,50.0
253,-7.9799999999999995,50.0
254,-7.9799999999999995,50.0
255,-7.9799999999999995,50.0
256,-7.9799999999999995,50.0
257,-7.9799999999999995,50.0
258,-7.9799999999999995,50.0
259,-7.9799999999999995,50.0
260,-7.9799999999999995,50.0
261,-7.9799999999999995,50.0
262,-7.9799999999999995,50.0
263,-7.9799999999999995,50.0
264,-7.9799999999999995,50.0
265,-7.9799999999999995,50.0
266,-7.9799999999999995,50.0
267,-7.9799999999999995,50.0
268,-7.9799999999999995,50.0
269,-7.9799999999999995,50.0
270,-7.9799999999999995,50.0
271,-7.9799999999999995,50.0
272,-7.9799999999999995,50.0
273,-7.9799999999999995,50.0
274,-7.9799999999999995,50.0
275,-7.9799999999999995,50.0
276,-7.9799999999999995,50.0
277,-7.9799999999999995,50.0
278,-7.9799999999999995,50.0
279,-7.9799999999999995,50.0
280,-7.9799999999999995,50.0
281,-7.9799999999999995,50.0
282,-7.9799999999999995,50.0
283,-7.9799999999999995,50.0
284,-7.9799999999999995,50.0
285,-7.9799999999999995,50.0
286,-7.9799999999999995,50.0
287,-7.9799999999999995,50.0
288,-7.9799999999999995,50.0
289,-7.9799999999999995,50.0
290,-7.9799999999999995,50.0
291,-7.9799999999999995,50.0
292,-7.9799999999999995,50.0
293,-7.9799999999999995,50.0
294,-7.9799999999999995,50.0
295,-7.9799999999999995,50.0
296,-7.9799999999999995,50.0
297,-7.9799999999999995,50.0
298,-7.9799999999999995,50.0
299,-7.9799999999999995,50.0
300,-7.9799999999999995,50.0
301,-8.0,50.0
302,-8.0,50.0
303,-8.0,50.0
304,-8.0,50.0
305,-8.0,50.0
306,-8.0,50.0
307,-8.0,50.0
308,-8.0,50.0
309,-8.0,50.0
310,-8.0,50.0
311,-8.0,50.0
312,-8.0,50.0
313,-8.0,50.0
314,-8.0,50.0
315,-8.0,50.0
316,-8.0,50.0
317,-8.0,50.0
318,-8.0,50.0
319,-8.0,50.0
320,-8.0,50.0
321,-8.0,50.0
322,-8.0,50.0
323,-8.0,50.0
324,-8.0,50.0
325,-8.0,50.0
326,-8.0,50.0
327,-8.0,50.0
328,-8.0,50.0
329,-8.0,50.0
330,-8.0,50.0
331,-8.0,50.0
332,-8.0,50.0
333,-8.0,50.0
334,-8.0,50.0
335,-8.0,50.0
336,-8.0,50.0
337,-8.0,50.0
338,-8.0,50.0
339,-8.0,50.0
340,-8.0,50.0
341,-8.0,50.0
342,-8.0,50.0
343,-8.0,50.0
344,-8.0,50.0
345,-8.0,50.0
346,-8.0,50.0
347,-8.0,50.0
348,-8.0,50.0
349,-8.0,50.0
350,-8.0,50.0
351,-8.1,50.0
352,-8.1,50.0
353,-8.1,50.0
354,-8.1,50.0
355,-8.1,50.0
356,-8.1,50.0
357,-8.1,50.0
358,-8.1,50.0
359,-8.1,50.0
360,-8.1,50.0
361,-8.1,50.0
362,-8.1,50.0
363,-8.1,50.0
364,-8.1,50.0
365,-8.1,50.0
366,-8.1,50.0
367,-8.1,50.0
368,-8.1,50.0
369,-8.1,50.0
370,-8.1,50.0
371,-8.1,50.0
372,-8.1,50.0
373,-8.1,50.0
374,-8.1,50.0
375,-8.1,50.0
376,-8.1,50.0
377,-8.1,50.0
378,-8.1,50.0
379,-8.1,50.0
380,-8.1,50.0
381,-8.1,50.0
382,-8.1,50.0
383,-8.1,50.0
384,-8.1,50.0
385,-8.1,50.0
386,-8.1,50.0
387,-8.1,50.0
388,-8.1,50.0
389,-8.1,50.0
390,-8.1,50.0
391,-8.1,50.0
392,-8.1,50.0
393,-8.1,50.0
394,-8.1,50.0
395,-8.1,50.0
396,-8.1,50.0
397,-8.1,50.0
398,-8.1,50.0
399,-8.1,50.0
400,-8.1,50.0
401,-8.024999999999999,50.0
402,-8.024999999999999,50.0
403,-8.024999999999999,50.0
404,-8.024999999999999,50.0
405,-8.024999999999999,50.0
406,-8.024999999999999,50.0
407,-8.024999999999999,50.0
408,-8.024999999999999,50.0
409,-8.024999999999999,50.0
410,-8.024999999999999,50.0
411,-8.024999999999999,50.0
412,-8.024999999999999,50.0
413,-8.024999999999999,50.0
414,-8.024999999999999,50.0
415,-8.024999999999999,50.0
416,-8.024999999999999,50.0
417,-8.024999999999999,50.0
418,-8.024999999999999,50.0
419,-8.024999999999999,50.0
420,-8.024999999999999,50.0
421,-8.024999999999999,50.0
422,-8.024999999999999,50.0
423,-8.024999999999999,50.0
424,-8.024999999999999,50.0
425,-8.024999999999999,50.0
426,-8.024999999999999,50.0
427,-8.024999999999999,50.0
428,-8.024999999999999,50.0
429,-8.024999999999999,50.0
430,-8.024999999999999,50.0
431,-8.024999999999999,50.0
432,-8.024999999999999,50.0
433,-8.024999999999999,50.0
434,-8.024999999999999,50.0
435,-8.024999999999999,50.0
436,-8.024999999999999,50.0
437,-8.024999999999999,50.0
438,-8.024999999999999,50.0
439,-8.024999999999999,50.0
440,-8.024999999999999,50.0
441,-8.024999999999999,50.0
442,-8.024999999999999,50.0
443,-8.024999999999999,50.0
444,-8.024999999999999,50.0
445,-8.024999999999999,50.0
446,-8.024999999999999,50.0
447,-8.024999999999999,50.0
448,-8.024999999999999,50.0
449,-8.024999999999999,50.0
450,-8.024999999999999,50.0
451,-7.8999999999999995,50.0
452,-7.8999999999999995,50.0
453,-7.8999999999999995,50.0
454,-7.8999999999999995,50.0
455,-7.8999999999999995,50.0
456,-7.8999999999999995,50.0
457,-7.8999999999999995,50.0
458,-7.8999999999999995,50.0
459,-7.8999999999999995,50.0
460,-7.8999999999999995,50.0
461,-7.8999999999999995,50.0
462,-7.8999999999999995,50.0
463,-7.8999999999999995,50.0
464,-7.8999999999999995,50.0
465,-7.8999999999999995,50.0
466,-7.8999999999999995,50.0
467,-7.8999999999999995,50.0
468,-7.8999999999999995,50.0
469,-7.8999999999999995,50.0
470,-7.8999999999999995,50.0
471,-7.8999999999999995,50.0
472,-7.8999999999999995,50.0
473,-7.8999999999999995,50.0
474,-7.8999999999999995,50.0
475,-7.8999999999999995,50.0
476,-7.8999999999999995,50.0
477,-7.8999999999999995,50.0
478,-7.8999999999999995,50.0
479,-7.8999999999999995,50.0
480,-7.8999999999999995,50.0
481,-7.8999999999999995,50.0
482,-7.8999999999999995,50.0
483,-7.8999999999999995,50.0
484,-7.8999999999999995,50.0
485,-7.8999999999999995,50.0
486,-7.8999999999999995,50.0
487,-7.8999999999999995,50.0
488,-7.8999999999999995,50.0
489,-7.8999999999999995,50.0
490,-7.8999999999999995,50.0
491,-7.8999999999999995,50.0
492,-7.8999999999999995,50.0
493,-7.8999999999999995,50.0
494,-7.8999999999999995,50.0
495,-7.8999999999999995,50.0
496,-7.8999999999999995,50.0
497,-7.8999999999999995,50.0
498,-7.8999999999999995,50.0
499,-7.8999999999999995,50.0
500,-7.8999999999999995,50.0
501,-7.9799999999999995,50.0
502,-7.9799999999999995,50.0
503,-7.9799999999999995,50.0
504,-7.9799999999999995,50.0
505,-7.9799999999999995,50.0
506,-7.9799999999999995,50.0
507,-7.9799999999999995,50.0
508,-7.9799999999999995,50.0
509,-7.9799999999999995,50.0
510,-7.9799999999999995,50.0
511,-7.9799999999999995,50.0
512,-7.9799999999999995,50.0
513,-7.9799999999999995,50.0
514,-7.9799999999999995,50.0
515,-7.9799999999999995,50.0
516,-7.9799999999999995,50.0
517,-7.9799999999999995,50.0
518,-7.9799999999999995,50.0
519,-7.9799999999999995,50.0
520,-7.9799999999999995,50.0
521,-7.9799999999999995,50.0
522,-7.9799999999999995,50.0
523,-7.9799999999999995,50.0
524,-7.9799999999999995,50.0
525,-7.9799999999999995,50.0
526,-7.9799999999999995,50.0
527,-7.9799999999999995,50.0
528,-7.9799999999999995,50.0
529,-7.9799999999999995,50.0
530,-7.9799999999999995,50.0
531,-7.9799999999999995,50.0
532,-7.9799999999999995,50.0
533,-7.9799999999999995,50.0
534,-7.9799999999999995,50.0
535,-7.9799999999999995,50.0
536,-7.9799999999999995,50.0
537,-7.9799999999999995,50.0
538,-7.9799999999999995,50.0
539,-7.9799999999999995,50.0
540,-7.9799999999999995,50.0
541,-7.9799999999999995,50.0
542,-7.9799999999999995,50.0
543,-7.9799999999999995,50.0
544,-7.9799999999999995,50.0
545,-7.9799999999999995,50.0
546,-7.9799999999999995,50.0
547,-7.9799999999999995,50.0
548,-7.9799999999999995,50.0
549,-7.9799999999999995,50.0
550,-7.9799999999999995,50.0
551,-7.881818181818182,50.0
552,-7.881818181818182,50.0
553,-7.881818181818182,50.0
554,-7.881818181818182,50.0
555,-7.881818181818182,50.0
556,-7.881818181818182,50.0
557,-7.881818181818182,50.0
558,-7.881818181818182,50.0
559,-7.881818181818182,50.0
560,-7.881818181818182,50.0
561,-7.881818181818182,50.0
562,-7.881818181818182,50.0
563,-7.881818181818182,50.0
564,-7.881818181818182,50.0
565,-7.881818181818182,50.0
566,-7.881818181818182,50.0
567,-7.881818181818182,50.0
568,-7.881818181818182,50.0
569,-7.881818181818182,50.0
570,-7.881818181818182,50.0
571,-7.881818181818182,50.0
572,-7.881818181818182,50.0
573,-7.881818181818182,50.0
574,-7.881818181818182,50.0
575,-7.881818181818182,50.0
576,-7.881818181818182,50.0
577,-7.881818181818182,50.0
578,-7.881818181818182,50.0
579,-7.881818181818182,50.0
580,-7.881818181818182,50.0
581,-7.881818181818182,50.0
582,-7.881818181818182,50.0
583,-7.881818181818182,50.0
584,-7.881818181818182,50.0
585,-7.881818181818182,50.0
586,-7.881818181818182,50.0
587,-7.881818181818182,50.0
588,-7.881818181818182,50.0
589,-7.881818181818182,50.0
590,-7.881818181818182,50.0
591,-7.881818181818182,50.0
592,-7.881818181818182,50.0
593,-7.881818181818182,50.0
594,-7.881818181818182,50.0
595,-7.881818181818182,50.0
596,-7.881818181818182,50.0
597,-7.881818181818182,50.0
598,-7.881818181818182,50.0
599,-7.881818181818182,50.0
600,-7.881818181818182,50.0
601,-7.95,50.0
602,-7.95,50.0
603,-7.95,50.0
604,-7.95,50.0
605,-7.95,50.0
606,-7.95,50.0
607,-7.95,50.0
608,-7.95,50.0
609,-7.95,50.0
610,-7.95,50.0
611,-7.95,50.0
612,-7.95,50.0
613,-7.95,50.0
614,-7.95,50.0
615,-7.95,50.0
616,-7.95,50.0
617,-7.95,50.0
618,-7.95,50.0
619,-7.95,50.0
620,-7.95,50.0
621,-7.95,50.0
622,-7.95,50.0
623,-7.95,50.0
624,-7.95,50.0
625,-7.95,50.0
626,-7.95,50.0
627,-7.95,50.0
628,-7.95,50.0
629,-7.95,50.0
630,-7.95,50.0
631,-7.95,50.0
632,-7.95,50.0
633,-7.95,50.0
634,-7.95,50.0
