timesteps,ep_rew_mean,ep_len_mean
51,-7.5,50.0
52,-7.5,50.0
53,-7.5,50.0
54,-7.5,50.0
55,-7.5,50.0
56,-7.5,50.0
57,-7.5,50.0
58,-7.5,50.0
59,-7.5,50.0
60,-7.5,50.0
61,-7.5,50.0
62,-7.5,50.0
63,-7.5,50.0
64,-7.5,50.0
65,-7.5,50.0
66,-7.5,50.0
67,-7.5,50.0
68,-7.5,50.0
69,-7.5,50.0
70,-7.5,50.0
71,-7.5,50.0
72,-7.5,50.0
73,-7.5,50.0
74,-7.5,50.0
75,-7.5,50.0
76,-7.5,50.0
77,-7.5,50.0
78,-7.5,50.0
79,-7.5,50.0
80,-7.5,50.0
81,-7.5,50.0
82,-7.5,50.0
83,-7.5,50.0
84,-7.5,50.0
85,-7.5,50.0
86,-7.5,50.0
87,-7.5,50.0
88,-7.5,50.0
89,-7.5,50.0
90,-7.5,50.0
91,-7.5,50.0
92,-7.5,50.0
93,-7.5,50.0
94,-7.5,50.0
95,-7.5,50.0
96,-7.5,50.0
97,-7.5,50.0
98,-7.5,50.0
99,-7.5,50.0
100,-7.5,50.0
101,-5.7,50.0
102,-5.7,50.0
103,-5.7,50.0
104,-5.7,50.0
105,-5.7,50.0
106,-5.7,50.0
107,-5.7,50.0
108,-5.7,50.0
109,-5.7,50.0
110,-5.7,50.0
111,-5.7,50.0
112,-5.7,50.0
113,-5.7,50.0
114,-5.7,50.0
115,-5.7,50.0
116,-5.7,50.0
117,-5.7,50.0
118,-5.7,50.0
119,-5.7,50.0
120,-5.7,50.0
121,-5.7,50.0
122,-5.7,50.0
123,-5.7,50.0
124,-5.7,50.0
125,-5.7,50.0
126,-5.7,50.0
127,-5.7,50.0
128,-5.7,50.0
129,-5.7,50.0
130,-5.7,50.0
131,-5.7,50.0
132,-5.7,50.0
133,-5.7,50.0
134,-5.7,50.0
135,-5.7,50.0
136,-5.7,50.0
137,-5.7,50.0
138,-5.7,50.0
139,-5.7,50.0
140,-5.7,50.0
141,-5.7,50.0
142,-5.7,50.0
143,-5.7,50.0
144,-5.7,50.0
145,-5.7,50.0
146,-5.7,50.0
147,-5.7,50.0
148,-5.7,50.0
149,-5.7,50.0
150,-5.7,50.0
151,-6.5,50.0
152,-6.5,50.0
153,-6.5,50.0
154,-6.5,50.0
155,-6.5,50.0
156,-6.5,50.0
157,-6.5,50.0
158,-6.5,50.0
159,-6.5,50.0
160,-6.5,50.0
161,-6.5,50.0
162,-6.5,50.0
163,-6.5,50.0
164,-6.5,50.0
165,-6.5,50.0
166,-6.5,50.0
167,-6.5,50.0
168,-6.5,50.0
169,-6.5,50.0
170,-6.5,50.0
171,-6.5,50.0
172,-6.5,50.0
173,-6.5,50.0
174,-6.5,50.0
175,-6.5,50.0
176,-6.5,50.0
177,-6.5,50.0
178,-6.5,50.0
179,-6.5,50.0
180,-6.5,50.0
181,-6.5,50.0
182,-6.5,50.0
183,-6.5,50.0
184,-6.5,50.0
185,-6.5,50.0
186,-6.5,50.0
187,-6.5,50.0
188,-6.5,50.0
189,-6.5,50.0
190,-6.5,50.0
191,-6.5,50.0
192,-6.5,50.0
193,-6.5,50.0
194,-6.5,50.0
195,-6.5,50.0
196,-6.5,50.0
197,-6.5,50.0
198,-6.5,50.0
199,-6.5,50.0
200,-6.5,50.0
201,-6.6,50.0
202,-6.6,50.0
203,-6.6,50.0
204,-6.6,50.0
205,-6.6,50.0
206,-6.6,50.0
207,-6.6,50.0
208,-6.6,50.0
209,-6.6,50.0
210,-6.6,50.0
211,-6.6,50.0
212,-6.6,50.0
213,-6.6,50.0
214,-6.6,50.0
215,-6.6,50.0
216,-6.6,50.0
217,-6.6,50.0
218,-6.6,50.0
219,-6.6,50.0
220,-6.6,50.0
221,-6.6,50.0
222,-6.6,50.0
223,-6.6,50.0
224,-6.6,50.0
225,-6.6,50.0
226,-6.6,50.0
227,-6.6,50.0
228,-6.6,50.0
229,-6.6,50.0
230,-6.6,50.0
231,-6.6,50.0
232,-6.6,50.0
233,-6.6,50.0
234,-6.6,50.0
235,-6.6,50.0
236,-6.6,50.0
237,-6.6,50.0
238,-6.6,50.0
239,-6.6,50.0
240,-6.6,50.0
241,-6.6,50.0
242,-6.6,50.0
243,-6.6,50.0
244,-6.6,50.0
245,-6.6,50.0
246,-6.6,50.0
247,-6.6,50.0
248,-6.6,50.0
249,-6.6,50.0
250,-6.6,50.0
251,-6.779999999999999,50.0
252,-6.779999999999999,50.0
253,-6.779999999999999,50.0
254,-6.779999999999999,50.0
255,-6.779999999999999,50.0
256,-6.779999999999999,50.0
257,-6.779999999999999,50.0
258,-6.779999999999999,50.0
259,-6.779999999999999,50.0
260,-6.779999999999999,50.0
261,-6.779999999999999,50.0
262,-6.779999999999999,50.0
263,-6.779999999999999,50.0
264,-6.779999999999999,50.0
265,-6.779999999999999,50.0
266,-6.779999999999999,50.0
267,-6.779999999999999,50.0
268,-6.779999999999999,50.0
269,-6.779999999999999,50.0
270,-6.779999999999999,50.0
271,-6.779999999999999,50.0
272,-6.779999999999999,50.0
273,-6.779999999999999,50.0
274,-6.779999999999999,50.0
275,-6.779999999999999,50.0
276,-6.779999999999999,50.0
277,-6.779999999999999,50.0
278,-6.779999999999999,50.0
279,-6.779999999999999,50.0
280,-6.779999999999999,50.0
281,-6.779999999999999,50.0
282,-6.779999999999999,50.0
283,-6.779999999999999,50.0
284,-6.779999999999999,50.0
285,-6.779999999999999,50.0
286,-6.779999999999999,50.0
287,-6.779999999999999,50.0
288,-6.779999999999999,50.0
289,-6.779999999999999,50.0
290,-6.779999999999999,50.0
291,-6.779999999999999,50.0
292,-6.779999999999999,50.0
293,-6.779999999999999,50.0
294,-6.779999999999999,50.0
295,-6.779999999999999,50.0
296,-6.779999999999999,50.0
297,-6.779999999999999,50.0
298,-6.779999999999999,50.0
299,-6.779999999999999,50.0
300,-6.779999999999999,50.0
301,-7.0,50.0
302,-7.0,50.0
303,-7.0,50.0
304,-7.0,50.0
305,-7.0,50.0
306,-7.0,50.0
307,-7.0,50.0
308,-7.0,50.0
309,-7.0,50.0
310,-7.0,50.0
311,-7.0,50.0
312,-7.0,50.0
313,-7.0,50.0
314,-7.0,50.0
315,-7.0,50.0
316,-7.0,50.0
317,-7.0,50.0
318,-7.0,50.0
319,-7.0,50.0
320,-7.0,50.0
321,-7.0,50.0
322,-7.0,50.0
323,-7.0,50.0
324,-7.0,50.0
325,-7.0,50.0
326,-7.0,50.0
327,-7.0,50.0
328,-7.0,50.0
329,-7.0,50.0
330,-7.0,50.0
331,-7.0,50.0
332,-7.0,50.0
333,-7.0,50.0
334,-7.0,50.0
335,-7.0,50.0
336,-7.0,50.0
337,-7.0,50.0
338,-7.0,50.0
339,-7.0,50.0
340,-7.0,50.0
341,-7.0,50.0
342,-7.0,50.0
343,-7.0,50.0
344,-7.0,50.0
345,-7.0,50.0
346,-7.0,50.0
347,-7.0,50.0
348,-7.0,50.0
349,-7.0,50.0
350,-7.0,50.0
351,-7.071428571428571,50.0
352,-7.071428571428571,50.0
353,-7.071428571428571,50.0
354,-7.071428571428571,50.0
355,-7.071428571428571,50.0
356,-7.071428571428571,50.0
357,-7.071428571428571,50.0
358,-7.071428571428571,50.0
359,-7.071428571428571,50.0
360,-7.071428571428571,50.0
361,-7.071428571428571,50.0
362,-7.071428571428571,50.0
363,-7.071428571428571,50.0
364,-7.071428571428571,50.0
365,-7.071428571428571,50.0
366,-7.071428571428571,50.0
367,-7.071428571428571,50.0
368,-7.071428571428571,50.0
369,-7.071428571428571,50.0
370,-7.071428571428571,50.0
371,-7.071428571428571,50.0
372,-7.071428571428571,50.0
373,-7.071428571428571,50.0
374,-7.071428571428571,50.0
375,-7.071428571428571,50.0
376,-7.071428571428571,50.0
377,-7.071428571428571,50.0
378,-7.071428571428571,50.0
379,-7.071428571428571,50.0
380,-7.071428571428571,50.0
381,-7.071428571428571,50.0
382,-7.071428571428571,50.0
383,-7.071428571428571,50.0
384,-7.071428571428571,50.0
385,-7.071428571428571,50.0
386,-7.071428571428571,50.0
387,-7.071428571428571,50.0
388,-7.071428571428571,50.0
389,-7.071428571428571,50.0
390,-7.071428571428571,50.0
391,-7.071428571428571,50.0
392,-7.071428571428571,50.0
393,-7.071428571428571,50.0
394,-7.071428571428571,50.0
395,-7.071428571428571,50.0
396,-7.071428571428571,50.0
397,-7.071428571428571,50.0
398,-7.071428571428571,50.0
399,-7.071428571428571,50.0
400,-7.071428571428571,50.0
401,-7.125,50.0
402,-7.125,50.0
403,-7.125,50.0
404,-7.125,50.0
405,-7.125,50.0
406,-7.125,50.0
407,-7.125,50.0
408,-7.125,50.0
409,-7.125,50.0
410,-7.125,50.0
411,-7.125,50.0
412,-7.125,50.0
413,-7.125,50.0
414,-7.125,50.0
415,-7.125,50.0
416,-7.125,50.0
417,-7.125,50.0
418,-7.125,50.0
419,-7.125,50.0
420,-7.125,50.0
421,-7.125,50.0
422,-7.125,50.0
423,-7.125,50.0
424,-7.125,50.0
425,-7.125,50.0
426,-7.125,50.0
427,-7.125,50.0
428,-7.125,50.0
429,-7.125,50.0
430,-7.125,50.0
431,-7.125,50.0
432,-7.125,50.0
433,-7.125,50.0
434,-7.125,50.0
435,-7.125,50.0
436,-7.125,50.0
437,-7.125,50.0
438,-7.125,50.0
439,-7.125,50.0
440,-7.125,50.0
441,-7.125,50.0
442,-7.125,50.0
443,-7.125,50.0
444,-7.125,50.0
445,-7.125,50.0
446,-7.125,50.0
447,-7.125,50.0
448,-7.125,50.0
449,-7.125,50.0
450,-7.125,50.0
451,-6.833333333333333,50.0
452,-6.833333333333333,50.0
453,-6.833333333333333,50.0
454,-6.833333333333333,50.0
455,-6.833333333333333,50.0
456,-6.833333333333333,50.0
457,-6.833333333333333,50.0
458,-6.833333333333333,50.0
459,-6.833333333333333,50.0
460,-6.833333333333333,50.0
461,-6.833333333333333,50.0
462,-6.833333333333333,50.0
463,-6.833333333333333,50.0
464,-6.833333333333333,50.0
465,-6.833333333333333,50.0
466,-6.833333333333333,50.0
467,-6.833333333333333,50.0
468,-6.833333333333333,50.0
469,-6.833333333333333,50.0
470,-6.833333333333333,50.0
471,-6.833333333333333,50.0
472,-6.833333333333333,50.0
473,-6.833333333333333,50.0
474,-6.833333333333333,50.0
475,-6.833333333333333,50.0
476,-6.833333333333333,50.0
477,-6.833333333333333,50.0
478,-6.833333333333333,50.0
479,-6.833333333333333,50.0
480,-6.833333333333333,50.0
481,-6.833333333333333,50.0
482,-6.833333333333333,50.0
483,-6.833333333333333,50.0
484,-6.833333333333333,50.0
485,-6.833333333333333,50.0
486,-6.833333333333333,50.0
487,-6.833333333333333,50.0
488,-6.833333333333333,50.0
489,-6.833333333333333,50.0
490,-6.833333333333333,50.0
491,-6.833333333333333,50.0
492,-6.833333333333333,50.0
493,-6.833333333333333,50.0
494,-6.833333333333333,50.0
495,-6.833333333333333,50.0
496,-6.833333333333333,50.0
497,-6.833333333333333,50.0
498,-6.833333333333333,50.0
499,-6.833333333333333,50.0
500,-6.833333333333333,50.0
501,-6.959999999999999,50.0
502,-6.959999999999999,50.0
503,-6.959999999999999,50.0
504,-6.959999999999999,50.0
505,-6.959999999999999,50.0
506,-6.959999999999999,50.0
507,-6.959999999999999,50.0
508,-6.959999999999999,50.0
509,-6.959999999999999,50.0
510,-6.959999999999999,50.0
511,-6.959999999999999,50.0
512,-6.959999999999999,50.0
513,-6.959999999999999,50.0
514,-6.959999999999999,50.0
515,-6.959999999999999,50.0
516,-6.959999999999999,50.0
517,-6.959999999999999,50.0
518,-6.959999999999999,50.0
519,-6.959999999999999,50.0
520,-6.959999999999999,50.0
521,-6.959999999999999,50.0
522,-6.959999999999999,50.0
523,-6.959999999999999,50.0
524,-6.959999999999999,50.0
525,-6.959999999999999,50.0
526,-6.959999999999999,50.0
527,-6.959999999999999,50.0
528,-6.959999999999999,50.0
529,-6.959999999999999,50.0
530,-6.959999999999999,50.0
531,-6.959999999999999,50.0
532,-6.959999999999999,50.0
533,-6.959999999999999,50.0
534,-6.959999999999999,50.0
535,-6.959999999999999,50.0
536,-6.959999999999999,50.0
537,-6.959999999999999,50.0
538,-6.959999999999999,50.0
539,-6.959999999999999,50.0
540,-6.959999999999999,50.0
541,-6.959999999999999,50.0
542,-6.959999999999999,50.0
543,-6.959999999999999,50.0
544,-6.959999999999999,50.0
545,-6.959999999999999,50.0
546,-6.959999999999999,50.0
547,-6.959999999999999,50.0
548,-6.959999999999999,50.0
549,-6.959999999999999,50.0
550,-6.959999999999999,50.0
551,-7.009090909090909,50.0
552,-7.009090909090909,50.0
553,-7.009090909090909,50.0
554,-7.009090909090909,50.0
555,-7.009090909090909,50.0
556,-7.009090909090909,50.0
557,-7.009090909090909,50.0
558,-7.009090909090909,50.0
559,-7.009090909090909,50.0
560,-7.009090909090909,50.0
561,-7.009090909090909,50.0
562,-7.009090909090909,50.0
563,-7.009090909090909,50.0
564,-7.009090909090909,50.0
565,-7.009090909090909,50.0
566,-7.009090909090909,50.0
567,-7.009090909090909,50.0
568,-7.009090909090909,50.0
569,-7.009090909090909,50.0
570,-7.009090909090909,50.0
571,-7.009090909090909,50.0
572,-7.009090909090909,50.0
573,-7.009090909090909,50.0
574,-7.009090909090909,50.0
575,-7.009090909090909,50.0
576,-7.009090909090909,50.0
577,-7.009090909090909,50.0
578,-7.009090909090909,50.0
579,-7.009090909090909,50.0
580,-7.009090909090909,50.0
581,-7.009090909090909,50.0
582,-7.009090909090909,50.0
583,-7.009090909090909,50.0
584,-7.009090909090909,50.0
