timesteps,ep_rew_mean,ep_len_mean
51,-5.7,50.0
52,-5.7,50.0
53,-5.7,50.0
54,-5.7,50.0
55,-5.7,50.0
56,-5.7,50.0
57,-5.7,50.0
58,-5.7,50.0
59,-5.7,50.0
60,-5.7,50.0
61,-5.7,50.0
62,-5.7,50.0
63,-5.7,50.0
64,-5.7,50.0
65,-5.7,50.0
66,-5.7,50.0
67,-5.7,50.0
68,-5.7,50.0
69,-5.7,50.0
70,-5.7,50.0
71,-5.7,50.0
72,-5.7,50.0
73,-5.7,50.0
74,-5.7,50.0
75,-5.7,50.0
76,-5.7,50.0
77,-5.7,50.0
78,-5.7,50.0
79,-5.7,50.0
80,-5.7,50.0
81,-5.7,50.0
82,-5.7,50.0
83,-5.7,50.0
84,-5.7,50.0
85,-5.7,50.0
86,-5.7,50.0
87,-5.7,50.0
88,-5.7,50.0
89,-5.7,50.0
90,-5.7,50.0
91,-5.7,50.0
92,-5.7,50.0
93,-5.7,50.0
94,-5.7,50.0
95,-5.7,50.0
96,-5.7,50.0
97,-5.7,50.0
98,-5.7,50.0
99,-5.7,50.0
100,-5.7,50.0
101,-3.9000000000000004,50.0
102,-3.9000000000000004,50.0
103,-3.9000000000000004,50.0
104,-3.9000000000000004,50.0
105,-3.9000000000000004,50.0
106,-3.9000000000000004,50.0
107,-3.9000000000000004,50.0
108,-3.9000000000000004,50.0
109,-3.9000000000000004,50.0
110,-3.9000000000000004,50.0
111,-3.9000000000000004,50.0
112,-3.9000000000000004,50.0
113,-3.9000000000000004,50.0
114,-3.9000000000000004,50.0
115,-3.9000000000000004,50.0
116,-3.9000000000000004,50.0
117,-3.9000000000000004,50.0
118,-3.9000000000000004,50.0
119,-3.9000000000000004,50.0
120,-3.9000000000000004,50.0
121,-3.9000000000000004,50.0
122,-3.9000000000000004,50.0
123,-3.9000000000000004,50.0
124,-3.9000000000000004,50.0
125,-3.9000000000000004,50.0
126,-3.9000000000000004,50.0
127,-3.9000000000000004,50.0
128,-3.9000000000000004,50.0
129,-3.9000000000000004,50.0
130,-3.9000000000000004,50.0
131,-3.9000000000000004,50.0
132,-3.9000000000000004,50.0
133,-3.9000000000000004,50.0
134,-3.9000000000000004,50.0
135,-3.9000000000000004,50.0
136,-3.9000000000000004,50.0
137,-3.9000000000000004,50.0
138,-3.9000000000000004,50.0
139,-3.9000000000000004,50.0
140,-3.9000000000000004,50.0
141,-3.9000000000000004,50.0
142,-3.9000000000000004,50.0
143,-3.9000000000000004,50.0
144,-3.9000000000000004,50.0
145,-3.9000000000000004,50.0
146,-3.9000000000000004,50.0
147,-3.9000000000000004,50.0
148,-3.9000000000000004,50.0
149,-3.9000000000000004,50.0
150,-3.9000000000000004,50.0
151,-5.5,50.0
152,-5.5,50.0
153,-5.5,50.0
154,-5.5,50.0
155,-5.5,50.0
156,-5.5,50.0
157,-5.5,50.0
158,-5.5,50.0
159,-5.5,50.0
160,-5.5,50.0
161,-5.5,50.0
162,-5.5,50.0
163,-5.5,50.0
164,-5.5,50.0
165,-5.5,50.0
166,-5.5,50.0
167,-5.5,50.0
168,-5.5,50.0
169,-5.5,50.0
170,-5.5,50.0
171,-5.5,50.0
172,-5.5,50.0
173,-5.5,50.0
174,-5.5,50.0
175,-5.5,50.0
176,-5.5,50.0
177,-5.5,50.0
178,-5.5,50.0
179,-5.5,50.0
180,-5.5,50.0
181,-5.5,50.0
182,-5.5,50.0
183,-5.5,50.0
184,-5.5,50.0
185,-5.5,50.0
186,-5.5,50.0
187,-5.5,50.0
188,-5.5,50.0
189,-5.5,50.0
190,-5.5,50.0
191,-5.5,50.0
192,-5.5,50.0
193,-5.5,50.0
194,-5.5,50.0
195,-5.5,50.0
196,-5.5,50.0
197,-5.5,50.0
198,-5.5,50.0
199,-5.5,50.0
200,-5.5,50.0
201,-6.0,50.0
202,-6.0,50.0
203,-6.0,50.0
204,-6.0,50.0
205,-6.0,50.0
206,-6.0,50.0
207,-6.0,50.0
208,-6.0,50.0
209,-6.0,50.0
210,-6.0,50.0
211,-6.0,50.0
212,-6.0,50.0
213,-6.0,50.0
214,-6.0,50.0
215,-6.0,50.0
216,-6.0,50.0
217,-6.0,50.0
218,-6.0,50.0
219,-6.0,50.0
220,-6.0,50.0
221,-6.0,50.0
222,-6.0,50.0
223,-6.0,50.0
224,-6.0,50.0
225,-6.0,50.0
226,-6.0,50.0
227,-6.0,50.0
228,-6.0,50.0
229,-6.0,50.0
230,-6.0,50.0
231,-6.0,50.0
232,-6.0,50.0
233,-6.0,50.0
234,-6.0,50.0
235,-6.0,50.0
236,-6.0,50.0
237,-6.0,50.0
238,-6.0,50.0
239,-6.0,50.0
240,-6.0,50.0
241,-6.0,50.0
242,-6.0,50.0
243,-6.0,50.0
244,-6.0,50.0
245,-6.0,50.0
246,-6.0,50.0
247,-6.0,50.0
248,-6.0,50.0
249,-6.0,50.0
250,-6.0,50.0
251,-6.42,50.0
252,-6.42,50.0
253,-6.42,50.0
254,-6.42,50.0
255,-6.42,50.0
256,-6.42,50.0
257,-6.42,50.0
258,-6.42,50.0
259,-6.42,50.0
260,-6.42,50.0
261,-6.42,50.0
262,-6.42,50.0
263,-6.42,50.0
264,-6.42,50.0
265,-6.42,50.0
266,-6.42,50.0
267,-6.42,50.0
268,-6.42,50.0
269,-6.42,50.0
270,-6.42,50.0
271,-6.42,50.0
272,-6.42,50.0
273,-6.42,50.0
274,-6.42,50.0
275,-6.42,50.0
276,-6.42,50.0
277,-6.42,50.0
278,-6.42,50.0
279,-6.42,50.0
280,-6.42,50.0
281,-6.42,50.0
282,-6.42,50.0
283,-6.42,50.0
284,-6.42,50.0
285,-6.42,50.0
286,-6.42,50.0
287,-6.42,50.0
288,-6.42,50.0
289,-6.42,50.0
290,-6.42,50.0
291,-6.42,50.0
292,-6.42,50.0
293,-6.42,50.0
294,-6.42,50.0
295,-6.42,50.0
296,-6.42,50.0
297,-6.42,50.0
298,-6.42,50.0
299,-6.42,50.0
300,-6.42,50.0
301,-6.7,50.0
302,-6.7,50.0
303,-6.7,50.0
304,-6.7,50.0
305,-6.7,50.0
306,-6.7,50.0
307,-6.7,50.0
308,-6.7,50.0
309,-6.7,50.0
310,-6.7,50.0
311,-6.7,50.0
312,-6.7,50.0
313,-6.7,50.0
314,-6.7,50.0
315,-6.7,50.0
316,-6.7,50.0
317,-6.7,50.0
318,-6.7,50.0
319,-6.7,50.0
320,-6.7,50.0
321,-6.7,50.0
322,-6.7,50.0
323,-6.7,50.0
324,-6.7,50.0
325,-6.7,50.0
326,-6.7,50.0
327,-6.7,50.0
328,-6.7,50.0
329,-6.7,50.0
330,-6.7,50.0
