timesteps,ep_rew_mean,ep_len_mean
51,-4.5,50.0
52,-4.5,50.0
53,-4.5,50.0
54,-4.5,50.0
55,-4.5,50.0
56,-4.5,50.0
57,-4.5,50.0
58,-4.5,50.0
59,-4.5,50.0
60,-4.5,50.0
61,-4.5,50.0
62,-4.5,50.0
63,-4.5,50.0
64,-4.5,50.0
65,-4.5,50.0
66,-4.5,50.0
67,-4.5,50.0
68,-4.5,50.0
69,-4.5,50.0
70,-4.5,50.0
71,-4.5,50.0
72,-4.5,50.0
73,-4.5,50.0
74,-4.5,50.0
75,-4.5,50.0
76,-4.5,50.0
77,-4.5,50.0
78,-4.5,50.0
79,-4.5,50.0
80,-4.5,50.0
81,-4.5,50.0
82,-4.5,50.0
83,-4.5,50.0
84,-4.5,50.0
85,-4.5,50.0
86,-4.5,50.0
87,-4.5,50.0
88,-4.5,50.0
89,-4.5,50.0
90,-4.5,50.0
91,-4.5,50.0
92,-4.5,50.0
93,-4.5,50.0
94,-4.5,50.0
95,-4.5,50.0
96,-4.5,50.0
97,-4.5,50.0
98,-4.5,50.0
99,-4.5,50.0
100,-4.5,50.0
101,-6.0,50.0
102,-6.0,50.0
103,-6.0,50.0
104,-6.0,50.0
105,-6.0,50.0
106,-6.0,50.0
107,-6.0,50.0
108,-6.0,50.0
109,-6.0,50.0
110,-6.0,50.0
111,-6.0,50.0
112,-6.0,50.0
113,-6.0,50.0
114,-6.0,50.0
115,-6.0,50.0
116,-6.0,50.0
117,-6.0,50.0
118,-6.0,50.0
119,-6.0,50.0
120,-6.0,50.0
121,-6.0,50.0
122,-6.0,50.0
123,-6.0,50.0
124,-6.0,50.0
125,-6.0,50.0
126,-6.0,50.0
127,-6.0,50.0
128,-6.0,50.0
129,-6.0,50.0
130,-6.0,50.0
131,-6.0,50.0
132,-6.0,50.0
133,-6.0,50.0
134,-6.0,50.0
135,-6.0,50.0
136,-6.0,50.0
137,-6.0,50.0
138,-6.0,50.0
139,-6.0,50.0
140,-6.0,50.0
141,-6.0,50.0
142,-6.0,50.0
143,-6.0,50.0
144,-6.0,50.0
145,-6.0,50.0
146,-6.0,50.0
147,-6.0,50.0
148,-6.0,50.0
149,-6.0,50.0
150,-6.0,50.0
151,-6.7,50.0
152,-6.7,50.0
153,-6.7,50.0
154,-6.7,50.0
155,-6.7,50.0
156,-6.7,50.0
157,-6.7,50.0
158,-6.7,50.0
159,-6.7,50.0
160,-6.7,50.0
161,-6.7,50.0
162,-6.7,50.0
163,-6.7,50.0
164,-6.7,50.0
165,-6.7,50.0
166,-6.7,50.0
167,-6.7,50.0
168,-6.7,50.0
169,-6.7,50.0
170,-6.7,50.0
171,-6.7,50.0
172,-6.7,50.0
173,-6.7,50.0
174,-6.7,50.0
175,-6.7,50.0
176,-6.7,50.0
177,-6.7,50.0
178,-6.7,50.0
179,-6.7,50.0
180,-6.7,50.0
181,-6.7,50.0
182,-6.7,50.0
183,-6.7,50.0
184,-6.7,50.0
185,-6.7,50.0
186,-6.7,50.0
187,-6.7,50.0
188,-6.7,50.0
189,-6.7,50.0
190,-6.7,50.0
191,-6.7,50.0
192,-6.7,50.0
193,-6.7,50.0
194,-6.7,50.0
195,-6.7,50.0
196,-6.7,50.0
197,-6.7,50.0
198,-6.7,50.0
199,-6.7,50.0
200,-6.7,50.0
201,-6.75,50.0
202,-6.75,50.0
203,-6.75,50.0
204,-6.75,50.0
205,-6.75,50.0
206,-6.75,50.0
207,-6.75,50.0
208,-6.75,50.0
209,-6.75,50.0
210,-6.75,50.0
211,-6.75,50.0
212,-6.75,50.0
213,-6.75,50.0
214,-6.75,50.0
215,-6.75,50.0
216,-6.75,50.0
217,-6.75,50.0
218,-6.75,50.0
219,-6.75,50.0
220,-6.75,50.0
221,-6.75,50.0
222,-6.75,50.0
223,-6.75,50.0
224,-6.75,50.0
225,-6.75,50.0
226,-6.75,50.0
227,-6.75,50.0
228,-6.75,50.0
229,-6.75,50.0
230,-6.75,50.0
231,-6.75,50.0
232,-6.75,50.0
233,-6.75,50.0
234,-6.75,50.0
235,-6.75,50.0
236,-6.75,50.0
237,-6.75,50.0
238,-6.75,50.0
239,-6.75,50.0
240,-6.75,50.0
241,-6.75,50.0
242,-6.75,50.0
243,-6.75,50.0
244,-6.75,50.0
245,-6.75,50.0
246,-6.75,50.0
247,-6.75,50.0
248,-6.75,50.0
249,-6.75,50.0
250,-6.75,50.0
251,-6.18,50.0
252,-6.18,50.0
253,-6.18,50.0
254,-6.18,50.0
255,-6.18,50.0
256,-6.18,50.0
257,-6.18,50.0
258,-6.18,50.0
259,-6.18,50.0
260,-6.18,50.0
261,-6.18,50.0
262,-6.18,50.0
263,-6.18,50.0
264,-6.18,50.0
265,-6.18,50.0
266,-6.18,50.0
267,-6.18,50.0
268,-6.18,50.0
269,-6.18,50.0
270,-6.18,50.0
271,-6.18,50.0
272,-6.18,50.0
273,-6.18,50.0
274,-6.18,50.0
275,-6.18,50.0
276,-6.18,50.0
277,-6.18,50.0
278,-6.18,50.0
279,-6.18,50.0
280,-6.18,50.0
281,-6.18,50.0
282,-6.18,50.0
283,-6.18,50.0
284,-6.18,50.0
285,-6.18,50.0
286,-6.18,50.0
287,-6.18,50.0
288,-6.18,50.0
289,-6.18,50.0
290,-6.18,50.0
291,-6.18,50.0
292,-6.18,50.0
293,-6.18,50.0
294,-6.18,50.0
295,-6.18,50.0
296,-6.18,50.0
297,-6.18,50.0
298,-6.18,50.0
299,-6.18,50.0
300,-6.18,50.0
301,-6.5,50.0
302,-6.5,50.0
303,-6.5,50.0
304,-6.5,50.0
305,-6.5,50.0
306,-6.5,50.0
307,-6.5,50.0
308,-6.5,50.0
309,-6.5,50.0
310,-6.5,50.0
311,-6.5,50.0
312,-6.5,50.0
313,-6.5,50.0
314,-6.5,50.0
315,-6.5,50.0
316,-6.5,50.0
317,-6.5,50.0
318,-6.5,50.0
319,-6.5,50.0
320,-6.5,50.0
321,-6.5,50.0
322,-6.5,50.0
323,-6.5,50.0
324,-6.5,50.0
325,-6.5,50.0
326,-6.5,50.0
327,-6.5,50.0
328,-6.5,50.0
329,-6.5,50.0
330,-6.5,50.0
331,-6.5,50.0
332,-6.5,50.0
333,-6.5,50.0
334,-6.5,50.0
335,-6.5,50.0
336,-6.5,50.0
337,-6.5,50.0
338,-6.5,50.0
339,-6.5,50.0
340,-6.5,50.0
341,-6.5,50.0
342,-6.5,50.0
343,-6.5,50.0
344,-6.5,50.0
345,-6.5,50.0
346,-6.5,50.0
347,-6.5,50.0
348,-6.5,50.0
349,-6.5,50.0
350,-6.5,50.0
351,-6.728571428571429,50.0
352,-6.728571428571429,50.0
353,-6.728571428571429,50.0
354,-6.728571428571429,50.0
355,-6.728571428571429,50.0
356,-6.728571428571429,50.0
357,-6.728571428571429,50.0
358,-6.728571428571429,50.0
359,-6.728571428571429,50.0
360,-6.728571428571429,50.0
361,-6.728571428571429,50.0
362,-6.728571428571429,50.0
363,-6.728571428571429,50.0
364,-6.728571428571429,50.0
365,-6.728571428571429,50.0
366,-6.728571428571429,50.0
367,-6.728571428571429,50.0
368,-6.728571428571429,50.0
369,-6.728571428571429,50.0
370,-6.728571428571429,50.0
371,-6.728571428571429,50.0
372,-6.728571428571429,50.0
373,-6.728571428571429,50.0
374,-6.728571428571429,50.0
375,-6.728571428571429,50.0
376,-6.728571428571429,50.0
377,-6.728571428571429,50.0
378,-6.728571428571429,50.0
379,-6.728571428571429,50.0
380,-6.728571428571429,50.0
381,-6.728571428571429,50.0
382,-6.728571428571429,50.0
383,-6.728571428571429,50.0
384,-6.728571428571429,50.0
385,-6.728571428571429,50.0
386,-6.728571428571429,50.0
387,-6.728571428571429,50.0
388,-6.728571428571429,50.0
389,-6.728571428571429,50.0
390,-6.728571428571429,50.0
391,-6.728571428571429,50.0
392,-6.728571428571429,50.0
393,-6.728571428571429,50.0
394,-6.728571428571429,50.0
395,-6.728571428571429,50.0
396,-6.728571428571429,50.0
397,-6.728571428571429,50.0
398,-6.728571428571429,50.0
399,-6.728571428571429,50.0
400,-6.728571428571429,50.0
401,-6.75,50.0
