episode,reward
1,3.8999999999999986
2,4.4999999999999964
3,8.399999999999986
4,8.399999999999986
5,8.399999999999986
6,8.399999999999986
7,3.8999999999999986
8,9.399999999999983
9,8.399999999999986
10,3.8999999999999986
